"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","BHKY","BuffGH_2022","EaSmR","ICMP5845","MDCuke_2022","PSU-1","SCR3"
"group_12221","","ISL3 family transposase ISSoEn4","2","2","1","4","1736","1","1657","","1220","1220","1220","POCPNIHP_02737","JKPFCNPL_03144","","","","",""
"group_12222","","ISL3 family transposase ISSoEn4","2","2","1","4","12416","1","4857","","1220","1220","1220","POCPNIHP_03776","JKPFCNPL_04133","","","","",""
"group_12223","","ISL3 family transposase ISSoEn4","2","2","1","4","9714","1","6646","","1220","1220","1220","POCPNIHP_04578","JKPFCNPL_04947","","","","",""
"group_12226","","hypothetical protein","2","2","1","4","634","1","5890","","578","578","578","POCPNIHP_01312","JKPFCNPL_01615","","","","",""
"group_12227","","hypothetical protein","2","2","1","4","4505","1","3006","","578","578","578","POCPNIHP_02300","JKPFCNPL_02703","","","","",""
"group_12229","","hypothetical protein","2","2","1","4","10727","1","3933","","578","578","578","","","","","JIDLLDEG_04046","","MAOBNCNO_03947"
"group_12230","","hypothetical protein","2","2","1","4","10525","1","4338","","353","353","353","POCPNIHP_00033","JKPFCNPL_00033","","","","",""
"group_12232","","hypothetical protein","2","2","1","4","4583","1","4312","","353","353","353","POCPNIHP_01319","","","PNIFCKEH_02900","","",""
"group_12234","","hypothetical protein","2","2","1","4","10712","1","4050","","353","353","353","","","","PNIFCKEH_06313","","","MAOBNCNO_01195"
"group_12236","","hypothetical protein","2","2","1","4","10558","1","3994","","1583","1583","1583","POCPNIHP_01332","","","PNIFCKEH_06328","","",""
"group_12245","","IS481 family transposase ISErsp1","2","2","1","4","2265","1","2187","","1040","1040","1040","","","","","JIDLLDEG_00167","","MAOBNCNO_00168"
"group_12246","","IS481 family transposase ISErsp1","2","2","1","4","6396","1","1089","","1040","1040","1040","","","","","JIDLLDEG_03909","","MAOBNCNO_03813"
"group_12247","","IS481 family transposase ISErsp1","2","2","1","4","2082","1","196","","1040","1040","1040","","","","","JIDLLDEG_05069","","MAOBNCNO_04968"
"group_12248","","IS481 family transposase ISErsp1","2","2","1","4","1067","1","902","","1040","1040","1040","","","","","JIDLLDEG_05151","","MAOBNCNO_05037"
"group_12249","","hypothetical protein","2","2","1","4","3","1","6515","","248","248","248","POCPNIHP_01725","JKPFCNPL_02033","","","","",""
"group_12251","","hypothetical protein","2","2","1","4","1","1","6514","","248","248","248","","","","","JIDLLDEG_03675","","MAOBNCNO_03590"
"group_12262","","hypothetical protein","2","2","1","4","10523","1","4340","","1466","1466","1466","POCPNIHP_00031","JKPFCNPL_00031","","","","",""
"group_12268","","hypothetical protein","2","2","1","4","4331","1","8094","","533","533","533","","","","","JIDLLDEG_00722","","MAOBNCNO_00726"
"group_12269","","hypothetical protein","2","2","1","4","322","1","5349","","533","533","533","","","","","JIDLLDEG_00908","","MAOBNCNO_00913"
"group_12270","","hypothetical protein","2","2","1","4","333","1","5339","","533","533","533","","","","","JIDLLDEG_00916","","MAOBNCNO_00921"
"group_12272","","hypothetical protein","2","2","1","4","8577","1","5540","","533","533","533","","","","","JIDLLDEG_00945","","MAOBNCNO_00948"
"group_12273","","hypothetical protein","2","2","1","4","8588","1","5557","","533","533","533","","","","","JIDLLDEG_00954","","MAOBNCNO_00957"
"group_12274","","hypothetical protein","2","2","1","4","2929","1","6953","","533","533","533","","","","","JIDLLDEG_01436","","MAOBNCNO_01435"
"group_12275","","hypothetical protein","2","2","1","4","12411","1","4863","","533","533","533","","","","","JIDLLDEG_01540","","MAOBNCNO_01539"
"group_12276","","hypothetical protein","2","2","1","4","10491","1","4993","","533","533","533","","","","","JIDLLDEG_01553","","MAOBNCNO_01552"
"group_12277","","hypothetical protein","2","2","1","4","10287","1","4566","","533","533","533","","","","","JIDLLDEG_01560","","MAOBNCNO_01558"
"group_12279","","hypothetical protein","2","2","1","4","4398","1","7078","","533","533","533","","","","","JIDLLDEG_03086","","MAOBNCNO_03001"
"group_1228","","hypothetical protein","2","2","1","4","12661","1","7128","","356","356","356","","","","PNIFCKEH_05185","","","MAOBNCNO_03029"
"group_12280","","hypothetical protein","2","2","1","4","8946","1","7976","","533","533","533","","","","","JIDLLDEG_03660","","MAOBNCNO_03575"
"group_12281","","hypothetical protein","2","2","1","4","7375","1","5502","","533","533","533","","","","","JIDLLDEG_03876","","MAOBNCNO_03782"
"group_12282","","hypothetical protein","2","2","1","4","9884","1","4583","","533","533","533","","","","","JIDLLDEG_04673","","MAOBNCNO_04563"
"group_12283","","hypothetical protein","2","2","1","4","7755","1","288","","533","533","533","","","","","JIDLLDEG_04994","","MAOBNCNO_04882"
"group_12286","","hypothetical protein","2","2","1","4","121","1","7733","","503","503","503","POCPNIHP_01765","JKPFCNPL_02073","","","","",""
"group_12288","","hypothetical protein","2","2","1","4","2063","1","8949","","503","503","503","POCPNIHP_02079","JKPFCNPL_02482","","","","",""
"group_12289","","hypothetical protein","2","2","1","4","5870","2","199","","503","503","503","","","","","JIDLLDEG_01792","","MAOBNCNO_01790"
"group_12291","","hypothetical protein","2","2","1","4","12422","1","3791","","326","326","326","POCPNIHP_00975","JKPFCNPL_01276","","","","",""
"group_12293","","hypothetical protein","2","2","1","4","1099","1","3740","","326","326","326","POCPNIHP_04921","JKPFCNPL_05289","","","","",""
"group_12296","","hypothetical protein","2","2","1","4","7330","1","3818","","419","419","419","POCPNIHP_04815","JKPFCNPL_05183","","","","",""
"group_12297","","IS1 family transposase ISEic1","2","2","1","4","3499","1","749","","356","356","356","POCPNIHP_01022","JKPFCNPL_01322","","","","",""
"group_12298","","IS1 family transposase ISEic1","2","2","1","4","9693","1","6625","","356","356","356","POCPNIHP_04563","JKPFCNPL_04931","","","","",""
"group_123","","hypothetical protein","2","2","1","4","5555","1","2690","","290","290","290","POCPNIHP_02063","JKPFCNPL_02466","","","","",""
"group_12301","","hypothetical protein","2","2","1","4","10279","1","4455","","269","269","269","","","","","JIDLLDEG_01572","","MAOBNCNO_01569"
"group_12304","","hypothetical protein","2","2","1","4","4531","1","4273","","182","182","182","","","","PNIFCKEH_01469","","EJNDHMEK_04822",""
"group_12308","","hypothetical protein","2","2","1","4","11830","1","6074","","239","239","239","POCPNIHP_02510","JKPFCNPL_02917","","","","",""
"group_12309","","hypothetical protein","2","2","1","4","624","1","6001","","239","239","239","POCPNIHP_04100","JKPFCNPL_04462","","","","",""
"group_12310","","hypothetical protein","2","2","1","4","4594","1","2811","","716","716","716","POCPNIHP_00017","JKPFCNPL_00017","","","","",""
"group_12315","","hypothetical protein","2","2","1","4","255","1","5451","","716","716","716","POCPNIHP_05442","","","","JIDLLDEG_05651","",""
"group_12316","","hypothetical protein","2","2","1","4","10518","1","4345","","716","716","716","POCPNIHP_00026","JKPFCNPL_00026","","","","",""
"group_12317","","hypothetical protein","2","2","1","4","5426","1","2071","","716","716","716","POCPNIHP_00176","JKPFCNPL_00181","","","","",""
"group_12319","","hypothetical protein","2","2","1","4","1005","1","881","","716","716","716","POCPNIHP_04957","JKPFCNPL_00626","","","","",""
"group_12320","","hypothetical protein","2","2","1","4","1415","1","213","","716","716","716","POCPNIHP_00407","JKPFCNPL_00703","","","","",""
"group_12321","","hypothetical protein","2","2","1","4","7586","1","623","","716","716","716","POCPNIHP_00490","JKPFCNPL_00787","","","","",""
"group_12323","","hypothetical protein","2","2","1","4","7760","1","281","","716","716","716","POCPNIHP_00513","JKPFCNPL_00810","","","","",""
"group_12326","","hypothetical protein","2","2","1","4","12445","1","3772","","716","716","716","POCPNIHP_00986","JKPFCNPL_01287","","","","",""
"group_12328","","hypothetical protein","2","2","1","4","3511","1","734","","716","716","716","POCPNIHP_01035","JKPFCNPL_01334","","","","",""
"group_12329","","hypothetical protein","2","2","1","4","767","1","5494","","716","716","716","POCPNIHP_01204","JKPFCNPL_01506","","","","",""
"group_12332","","hypothetical protein","2","2","1","4","2091","1","7535","","716","716","716","POCPNIHP_01596","JKPFCNPL_01901","","","","",""
"group_12334","","hypothetical protein","2","2","1","4","4377","1","7113","","716","716","716","POCPNIHP_02227","JKPFCNPL_02631","","","","",""
"group_12335","","hypothetical protein","2","2","1","4","3286","1","3042","","716","716","716","POCPNIHP_02372","JKPFCNPL_02776","","","","",""
"group_12336","","hypothetical protein","2","2","1","4","11491","1","1575","","716","716","716","POCPNIHP_02705","JKPFCNPL_03111","","","","",""
"group_12337","","hypothetical protein","2","2","1","4","1749","1","1660","","716","716","716","POCPNIHP_02744","JKPFCNPL_03151","","","","",""
"group_12338","","hypothetical protein","2","2","1","4","7950","3","85","","716","716","716","POCPNIHP_03010","JKPFCNPL_03370","","","","",""
"group_12339","","hypothetical protein","2","2","1","4","10308","1","4775","","716","716","716","POCPNIHP_03285","JKPFCNPL_03644","","","","",""
"group_12340","","hypothetical protein","2","2","1","4","6176","7","3","","716","716","716","POCPNIHP_03693","JKPFCNPL_04051","","","","",""
"group_12341","","hypothetical protein","2","2","1","4","6235","1","2758","","716","716","716","POCPNIHP_03720","JKPFCNPL_04078","","","","",""
"group_12342","","hypothetical protein","2","2","1","4","2947","1","6938","","716","716","716","POCPNIHP_03833","JKPFCNPL_04191","","","","",""
"group_12343","","hypothetical protein","2","2","1","4","3063","6","41","","716","716","716","POCPNIHP_03897","JKPFCNPL_04253","","","","",""
"group_12344","","hypothetical protein","2","2","1","4","2796","1","2832","","716","716","716","POCPNIHP_03937","JKPFCNPL_04293","","","","",""
"group_12345","","hypothetical protein","2","2","1","4","2627","1","5919","","716","716","716","POCPNIHP_04081","JKPFCNPL_04443","","","","",""
"group_12346","","hypothetical protein","2","2","1","4","9409","1","6814","","716","716","716","POCPNIHP_04586","JKPFCNPL_04955","","","","",""
"group_12348","","hypothetical protein","2","2","1","4","5795","1","8771","","716","716","716","POCPNIHP_05383","JKPFCNPL_05468","","","","",""
"group_12351","","hypothetical protein","2","2","1","4","5810","1","8792","","716","716","716","POCPNIHP_05411","JKPFCNPL_05497","","","","",""
"group_12353","","hypothetical protein","2","2","1","4","2522","1","5912","","1058","1058","1058","","JKPFCNPL_02406","","","JIDLLDEG_00338","",""
"group_12354","","hypothetical protein","2","2","1","4","2624","1","5916","","1058","1058","1058","POCPNIHP_04084","JKPFCNPL_04446","","","","",""
"group_12355","","IS3 family transposase ISKpn34","2","2","1","4","8465","1","167","","824","824","824","POCPNIHP_02049","JKPFCNPL_02451","","","","",""
"group_12356","","IS3 family transposase ISKpn34","2","2","1","4","11498","1","1274","","824","824","824","POCPNIHP_02722","JKPFCNPL_03128","","","","",""
"group_12357","","IS3 family transposase ISKpn34","2","2","1","4","6260","1","4871","","824","824","824","POCPNIHP_03770","JKPFCNPL_04127","","","","",""
"group_12358","","IS3 family transposase ISKpn34","2","2","1","4","12508","1","6981","","824","824","824","POCPNIHP_03810","JKPFCNPL_04167","","","","",""
"group_12359","","IS3 family transposase ISKpn34","2","2","1","4","3057","6","6","","824","824","824","POCPNIHP_03891","JKPFCNPL_04247","","","","",""
"group_12364","","hypothetical protein","2","2","1","4","1045","1","676","","494","494","494","POCPNIHP_00364","JKPFCNPL_00657","","","","",""
"group_12366","","hypothetical protein","2","2","1","4","10710","1","4056","","1808","1808","1808","POCPNIHP_01318","","","","","","MAOBNCNO_01194"
"group_12373","","hypothetical protein","2","2","1","4","11829","1","6095","","137","137","137","POCPNIHP_02509","JKPFCNPL_02916","","","","",""
"group_12374","","hypothetical protein","2","2","1","4","623","1","6000","","137","137","137","POCPNIHP_04099","JKPFCNPL_04461","","","","",""
"dam_3","","DNA adenine methylase","2","2","1","4","2609","1","5997","","842","842","842","POCPNIHP_04096","JKPFCNPL_04458","","","","",""
"group_1238","","hypothetical protein","2","2","1","4","10717","1","4057","","791","1316","1053","","","","PNIFCKEH_06308","","","MAOBNCNO_01193"
"group_12382","","hypothetical protein","2","2","1","4","10521","1","4342","","566","566","566","POCPNIHP_00029","JKPFCNPL_00029","","","","",""
"group_12387","","hypothetical protein","2","2","1","4","5629","1","8569","","206","206","206","","","","","JIDLLDEG_01980","","MAOBNCNO_01975"
"group_12390","","hypothetical protein","2","2","1","4","7584","1","311","","446","446","446","POCPNIHP_00491","JKPFCNPL_05520","","","","",""
"group_12391","","hypothetical protein","2","2","1","4","7761","1","229","","446","446","446","POCPNIHP_00514","JKPFCNPL_00811","","","","",""
"group_12392","","hypothetical protein","2","2","1","4","768","1","5493","","446","446","446","POCPNIHP_01205","JKPFCNPL_01507","","","","",""
"group_12393","","hypothetical protein","2","2","1","4","1543","1","1809","","446","446","446","POCPNIHP_02799","JKPFCNPL_03207","","","","",""
"group_12395","","hypothetical protein","2","2","1","4","10139","1","4447","","446","446","446","POCPNIHP_03117","JKPFCNPL_03478","","","","",""
"group_12396","","hypothetical protein","2","2","1","4","10335","1","4797","","446","446","446","POCPNIHP_03327","JKPFCNPL_03687","","","","",""
"group_12398","","hypothetical protein","2","2","1","4","2948","1","6937","","446","446","446","POCPNIHP_03832","JKPFCNPL_04190","","","","",""
"group_124","","hypothetical protein","2","2","1","4","11483","1","1558","","290","290","290","POCPNIHP_02694","JKPFCNPL_03100","","","","",""
"group_12404","","hypothetical protein","2","2","1","4","11789","1","6057","","1136","1136","1136","POCPNIHP_02472","JKPFCNPL_02876","","","","",""
"group_1241","","hypothetical protein","2","2","1","4","10533","1","4009","","1316","1316","1316","","","","","JIDLLDEG_01203","","MAOBNCNO_03953"
"group_12421","","hypothetical protein","2","2","1","4","5044","1","1852","","707","707","707","POCPNIHP_05163","JKPFCNPL_00418","","","","",""
"group_12422","","hypothetical protein","2","2","1","4","12351","1","7497","","707","707","707","POCPNIHP_01665","JKPFCNPL_01971","","","","",""
"group_12423","","hypothetical protein","2","2","1","4","6698","1","101","","707","707","707","POCPNIHP_02010","JKPFCNPL_02365","","","","",""
"group_12424","","hypothetical protein","2","2","1","4","11849","1","3356","","707","707","707","POCPNIHP_02436","JKPFCNPL_02840","","","","",""
"group_12425","","hypothetical protein","2","2","1","4","10318","1","4574","","707","707","707","POCPNIHP_03291","JKPFCNPL_03650","","","","",""
"group_12426","","hypothetical protein","2","2","1","4","7476","1","5250","","707","707","707","POCPNIHP_04243","JKPFCNPL_04609","","","","",""
"group_12427","","hypothetical protein","2","2","1","4","9276","1","525","","707","707","707","POCPNIHP_04296","JKPFCNPL_04663","","","","",""
"group_12441","","hypothetical protein","2","2","1","4","11832","1","6072","","257","257","257","POCPNIHP_02512","JKPFCNPL_02919","","","","",""
"group_12442","","hypothetical protein","2","2","1","4","626","1","6003","","257","257","257","POCPNIHP_04102","JKPFCNPL_04464","","","","",""
"group_12444","","hypothetical protein","2","2","1","4","10593","1","4114","","233","233","233","","","","PNIFCKEH_02923","","","MAOBNCNO_01219"
"group_12449","","hypothetical protein","2","2","1","4","2211","1","8417","","422","422","422","","","","","JIDLLDEG_05533","","MAOBNCNO_02027"
"group_1245","","hypothetical protein","2","2","1","4","9928","1","4748","","428","512","470","","","","PNIFCKEH_04081","","EJNDHMEK_00424",""
"group_12450","","hypothetical protein","2","2","1","4","10143","1","4450","","422","422","422","","","","","JIDLLDEG_01566","","MAOBNCNO_02572"
"group_12451","","hypothetical protein","2","2","1","4","1407","1","8794","","422","422","422","","","","","JIDLLDEG_05369","","MAOBNCNO_05255"
"group_12453","","hypothetical protein","2","2","1","4","7752","1","218","","422","422","422","","","","","JIDLLDEG_05512","","MAOBNCNO_05397"
"group_12456","","IS481 family transposase ISErsp1","2","2","1","4","5393","1","2249","","1040","1040","1040","POCPNIHP_00206","JKPFCNPL_00211","","","","",""
"group_12457","","IS481 family transposase ISErsp1","2","2","1","4","1014","1","695","","1040","1040","1040","POCPNIHP_00340","JKPFCNPL_00632","","","","",""
"group_12458","","IS481 family transposase ISErsp1","2","2","1","4","7449","1","7550","","1040","1040","1040","POCPNIHP_01570","JKPFCNPL_01874","","","","",""
"group_12459","","IS481 family transposase ISErsp1","2","2","1","4","7169","1","5645","","1040","1040","1040","POCPNIHP_01959","JKPFCNPL_02268","","","","",""
"group_12460","","IS481 family transposase ISErsp1","2","2","1","4","1661","1","1845","","1040","1040","1040","POCPNIHP_02764","JKPFCNPL_03171","","","","",""
"group_12461","","IS481 family transposase ISErsp1","2","2","1","4","7968","3","139","","1040","1040","1040","POCPNIHP_02980","JKPFCNPL_03339","","","","",""
"group_12462","","IS481 family transposase ISErsp1","2","2","1","4","10307","1","4776","","1040","1040","1040","POCPNIHP_03284","JKPFCNPL_03643","","","","",""
"group_12463","","IS481 family transposase ISErsp1","2","2","1","4","7471","1","5299","","1040","1040","1040","POCPNIHP_04219","JKPFCNPL_04585","","","","",""
"group_12464","","IS481 family transposase ISErsp1","2","2","1","4","10738","1","3821","","1040","1040","1040","POCPNIHP_04818","JKPFCNPL_05186","","","","",""
"group_12470","","hypothetical protein","2","2","1","4","10630","1","3975","","554","554","554","","","","","JIDLLDEG_04077","","MAOBNCNO_03978"
"group_12472","","IS91 family transposase ISSbo1","2","2","1","4","5488","1","2050","","1199","1199","1199","POCPNIHP_00101","JKPFCNPL_00103","","","","",""
"group_12473","","IS91 family transposase ISSbo1","2","2","1","4","5427","1","2072","","1199","1199","1199","POCPNIHP_00177","JKPFCNPL_00182","","","","",""
"group_12474","","IS91 family transposase ISSbo1","2","2","1","4","1967","1","8885","","1199","1199","1199","POCPNIHP_00452","JKPFCNPL_00748","","","","",""
"group_12475","","IS91 family transposase ISSbo1","2","2","1","4","5502","1","2717","","1199","1199","1199","POCPNIHP_05385","JKPFCNPL_05491","","","","",""
"group_12477","","hypothetical protein","2","2","1","4","632","1","5888","","440","440","440","POCPNIHP_01314","JKPFCNPL_01617","","","","",""
"group_12478","","hypothetical protein","2","2","1","4","4503","1","3004","","440","440","440","POCPNIHP_02302","JKPFCNPL_02705","","","","",""
"group_12482","","hypothetical protein","2","2","1","4","2213","1","8339","","503","503","503","","","","","JIDLLDEG_05531","","MAOBNCNO_03687"
"group_12483","","hypothetical protein","2","2","1","4","1410","1","962","","503","503","503","","","","","JIDLLDEG_05108","","MAOBNCNO_04931"
"group_12485","","hypothetical protein","2","2","1","4","5195","1","4350","","503","503","503","","","","","JIDLLDEG_05273","","MAOBNCNO_05158"
"group_12486","","hypothetical protein","2","2","1","4","10133","1","2810","","503","503","503","","","","","JIDLLDEG_05350","","MAOBNCNO_05238"
"group_12487","","hypothetical protein","2","2","1","4","1161","1","2631","","503","503","503","","JKPFCNPL_01438","","","JIDLLDEG_04854","",""
"group_12489","","hypothetical protein","2","2","1","4","631","1","5887","","548","548","548","POCPNIHP_01315","JKPFCNPL_01618","","","","",""
"group_12490","","hypothetical protein","2","2","1","4","4502","1","3003","","548","548","548","POCPNIHP_02303","JKPFCNPL_02706","","","","",""
"group_12493","","hypothetical protein","2","2","1","4","2540","1","6167","","359","359","359","POCPNIHP_02500","JKPFCNPL_02302","","","","",""
"group_12502","","hypothetical protein","2","2","1","4","2208","1","7525","","242","242","242","POCPNIHP_01646","JKPFCNPL_01952","","","","",""
"group_12513","","hypothetical protein","2","2","1","4","2538","1","6169","","2495","2495","2495","POCPNIHP_02502","JKPFCNPL_02304","","","","",""
"group_12516","","hypothetical protein","2","2","1","4","2613","1","6158","","2495","2495","2495","POCPNIHP_04092","JKPFCNPL_04454","","","","",""
"group_12525","","hypothetical protein","2","2","1","4","2446","1","3952","","506","506","506","","JKPFCNPL_02731","","","","","MAOBNCNO_01221"
"group_12529","","IS3 family transposase IS1222","2","2","1","4","8454","1","8967","","263","263","263","POCPNIHP_02058","JKPFCNPL_02460","","","","",""
"group_12530","","IS3 family transposase IS1222","2","2","1","4","1659","1","1843","","263","263","263","POCPNIHP_02762","JKPFCNPL_03169","","","","",""
"group_12532","","IS3 family transposase IS1222","2","2","1","4","8618","1","5399","","263","263","263","POCPNIHP_04206","JKPFCNPL_04572","","","","",""
"group_12540","","IS3 family transposase IS1222","2","2","1","4","1596","1","1167","","263","263","263","POCPNIHP_02837","JKPFCNPL_03246","","","","",""
"group_12541","","IS3 family transposase IS1222","2","2","1","4","8466","1","161","","263","263","263","POCPNIHP_02048","JKPFCNPL_02450","","","","",""
"group_12542","","IS3 family transposase IS1222","2","2","1","4","11497","1","1273","","263","263","263","POCPNIHP_02723","JKPFCNPL_03129","","","","",""
"group_12543","","IS3 family transposase IS1222","2","2","1","4","12417","1","4870","","263","263","263","POCPNIHP_03771","JKPFCNPL_04128","","","","",""
"group_12544","","IS3 family transposase IS1222","2","2","1","4","12507","1","6980","","263","263","263","POCPNIHP_03811","JKPFCNPL_04168","","","","",""
"group_12545","","IS3 family transposase IS1222","2","2","1","4","3058","6","5","","263","263","263","POCPNIHP_03892","JKPFCNPL_04248","","","","",""
"group_12546","","IS3 family transposase IS1222","2","2","1","4","10146","1","8148","","263","263","263","POCPNIHP_05181","JKPFCNPL_00400","","","","",""
"group_1255","","hypothetical protein","2","2","1","4","1070","1","898","","176","836","506","POCPNIHP_00337","JKPFCNPL_00629","","","","",""
"group_12555","","hypothetical protein","2","2","1","4","11787","1","6055","","515","515","515","POCPNIHP_02474","JKPFCNPL_02878","","","","",""
"group_1256","","hypothetical protein","2","2","1","4","1043","1","674","","485","485","485","POCPNIHP_00362","JKPFCNPL_00655","","","","",""
"group_12567","","hypothetical protein","2","2","1","4","671","1","5695","","404","404","404","","","","","JIDLLDEG_00303","","MAOBNCNO_00304"
"group_12575","","IS91 family transposase ISVa3","2","2","1","4","12448","1","3775","","1223","1223","1223","POCPNIHP_00983","JKPFCNPL_01284","","","","",""
"group_12576","","IS91 family transposase ISVa3","2","2","1","4","10300","1","4994","","1223","1223","1223","POCPNIHP_03305","JKPFCNPL_03665","","","","",""
"group_12577","","IS91 family transposase ISVa3","2","2","1","4","10305","1","4569","","1223","1223","1223","POCPNIHP_03308","JKPFCNPL_03668","","","","",""
"group_12579","","IS91 family transposase ISVa3","2","2","1","4","3364","1","3466","","1223","1223","1223","","","","","JIDLLDEG_02991","","MAOBNCNO_02905"
"group_1258","","hypothetical protein","2","2","1","4","1044","1","675","","1529","1775","1652","POCPNIHP_00363","JKPFCNPL_00656","","","","",""
"group_12580","","IS91 family transposase ISVa3","2","2","1","4","10138","1","5023","","1223","1223","1223","","","","PNIFCKEH_01281","","","MAOBNCNO_05237"
"group_12585","","hypothetical protein","2","2","1","4","4351","1","5159","","437","437","437","POCPNIHP_02282","JKPFCNPL_02686","","","","",""
"group_12587","","hypothetical protein","2","2","1","4","1542","1","1811","","437","437","437","POCPNIHP_02800","JKPFCNPL_03208","","","","",""
"group_1259","","hypothetical protein","2","2","1","4","12323","1","7196","","1151","1775","1463","POCPNIHP_01683","JKPFCNPL_01991","","","","",""
"group_126","","IS481 family transposase ISSde2","2","2","1","4","5556","1","2691","","368","368","368","POCPNIHP_02064","JKPFCNPL_02467","","","","",""
"group_12601","","IS3 family transposase ISKpn34","2","2","1","4","1938","1","1780","","824","824","824","","","","","JIDLLDEG_02543","","MAOBNCNO_02456"
"group_12603","","IS3 family transposase ISKpn34","2","2","1","4","2169","1","7661","","824","824","824","","","","","JIDLLDEG_03750","","MAOBNCNO_03666"
"group_12604","","IS3 family transposase ISKpn34","2","2","1","4","10731","1","3912","","824","824","824","","","","","JIDLLDEG_04027","","MAOBNCNO_03928"
"group_12605","","IS3 family transposase ISKpn34","2","2","1","4","2081","1","175","","824","824","824","","","","","JIDLLDEG_05071","","MAOBNCNO_04966"
"group_12609","","hypothetical protein","2","2","1","4","2610","1","5996","","206","206","206","POCPNIHP_04095","JKPFCNPL_04457","","","","",""
"group_12614","","hypothetical protein","2","2","1","4","5632","1","8440","","206","206","206","POCPNIHP_03438","JKPFCNPL_03798","","","","",""
"group_12617","","hypothetical protein","2","2","1","4","10522","1","4341","","179","179","179","POCPNIHP_00030","JKPFCNPL_00030","","","","",""
"group_12619","","hypothetical protein","2","2","1","4","4587","1","4020","","179","179","179","POCPNIHP_01323","","","PNIFCKEH_02904","","",""
"group_12622","","IS110 family transposase ISSfl8","2","2","1","4","1906","1","1172","","317","317","317","POCPNIHP_02862","JKPFCNPL_03271","","","","",""
"group_12624","","IS110 family transposase ISSfl8","2","2","1","4","2422","1","3562","","317","317","317","POCPNIHP_04878","JKPFCNPL_05245","","","","",""
"group_12633","","hypothetical protein","2","2","1","4","621","1","5998","","572","572","572","POCPNIHP_04097","JKPFCNPL_04459","","","","",""
"group_12635","","hypothetical protein","2","2","1","4","85","1","7906","","503","503","503","","","","PNIFCKEH_05783","","","MAOBNCNO_03519"
"group_12637","","hypothetical protein","2","2","1","4","7553","1","604","","503","503","503","","","","","JIDLLDEG_03211","","MAOBNCNO_03123"
"group_12638","","hypothetical protein","2","2","1","4","11119","22","23","","503","503","503","","","","","JIDLLDEG_04597","","MAOBNCNO_04487"
"group_12639","","hypothetical protein","2","2","1","4","9809","1","4609","","503","503","503","POCPNIHP_00717","JKPFCNPL_01017","","","","",""
"group_12640","","hypothetical protein","2","2","1","4","3246","1","2815","","503","503","503","POCPNIHP_04015","JKPFCNPL_04374","","","","",""
"group_12641","","hypothetical protein","2","2","1","4","382","1","5734","","503","503","503","POCPNIHP_04129","JKPFCNPL_04491","","","","",""
"group_12642","","hypothetical protein","2","2","1","4","11006","1","6391","","503","503","503","POCPNIHP_04967","JKPFCNPL_00616","","","","",""
"group_12646","","hypothetical protein","2","2","1","4","622","1","5999","","392","392","392","POCPNIHP_04098","JKPFCNPL_04460","","","","",""
"group_1267","","hypothetical protein","2","2","1","4","8370","1","9045","","710","710","710","POCPNIHP_03078","JKPFCNPL_03437","","","","",""
"tnpA_6","","ISDra2 transposase TnpA","2","2","1","4","11474","1","1525","","416","416","416","","","","","JIDLLDEG_02745","","MAOBNCNO_02658"
"group_12676","tnpA_3","ISDra2 transposase TnpA","2","2","1","4","9136","1","8500","","416","416","416","","","","","JIDLLDEG_01920","","MAOBNCNO_01915"
"tnpA_5","","ISDra2 transposase TnpA","2","2","1","4","1828","1","1215","","416","416","416","","","","","JIDLLDEG_02623","","MAOBNCNO_02534"
"tnpA_7","","ISDra2 transposase TnpA","2","2","1","4","3329","1","3045","","416","416","416","","","","","JIDLLDEG_02967","","MAOBNCNO_02881"
"tnpA_8","","ISDra2 transposase TnpA","2","2","1","4","3282","1","3501","","416","416","416","","","","","JIDLLDEG_03011","","MAOBNCNO_02925"
"tnpA_9","","ISDra2 transposase TnpA","2","2","1","4","9369","1","3859","","416","416","416","","","","","JIDLLDEG_04012","","MAOBNCNO_03914"
"tnpA_11","","ISDra2 transposase TnpA","2","2","1","4","3832","12","28","","416","416","416","","","","","JIDLLDEG_04346","","MAOBNCNO_04243"
"group_12682","","hypothetical protein","2","2","1","4","5489","1","2049","","188","188","188","POCPNIHP_00102","JKPFCNPL_00104","","","","",""
"group_12684","","hypothetical protein","2","2","1","4","5428","1","2073","","188","188","188","POCPNIHP_00178","JKPFCNPL_00183","","","","",""
"group_12686","","hypothetical protein","2","2","1","4","5503","1","2715","","188","188","188","POCPNIHP_05386","JKPFCNPL_05490","","","","",""
"group_1269","","hypothetical protein","2","2","1","4","8948","1","7978","","644","644","644","","","","","JIDLLDEG_03662","","MAOBNCNO_03577"
"group_12692","","IS1 family transposase ISEic1","2","2","1","4","3056","6","47","","209","209","209","","","","PNIFCKEH_03131","","","MAOBNCNO_01373"
"group_12697","","IS3 family transposase ISKpn34","2","2","1","4","3050","6","51","","824","824","824","","","","","JIDLLDEG_01376","","MAOBNCNO_01375"
"group_12699","","IS3 family transposase ISKpn34","2","2","1","4","1658","1","1842","","824","824","824","POCPNIHP_02761","JKPFCNPL_03168","","","","",""
